"stock_code","corp_code","company_name","induty_code"
"006840","00125080","AK홀딩스","64992"
"006880","00136402","신송홀딩스","46201"
"006890","00109161","태경케미컬","20121"
"0068Y0","01933981","비엔케이제3호스팩","66199"
"006910","00267881","보성파워텍","2511"
"006920","00163318","모헨즈","23322"
"006980","00142661","우성","105"
"007050","00128731","유리이에스","29230"
"007070","00140177","GS리테일","47122"
"0070X0","01921199","에스테크엠","29299"
"007110","00146296","일신석재","466"
"007120","00104786","미래아이앤지","620"
"007150","00117638","동양텔레콤","26"
"007160","00124799","사조산업","102"
"007190","00137702","한솔아트원제지","171"
"0071M0","01935183","삼성스팩11호","66199"
"007200","00150855","진흥저축은행","64131"
"007210","00122898","벽산","23999"
"007280","00124090","한국특강","24121"
"0072Z0","01934935","KB제33호스팩","66199"
"007310","00141529","오뚜기","108"
"007330","00124805","푸른저축은행","64132"
"007340","00116949","DN오토모티브","28202"
"007370","00150536","진양제약","212"
"007390","00117276","네이처셀","211"
"007460","00152385","에이프로젠","212"
"007480","00113173","대한은박지","24222"
"007490","00154204","태창기업","13401"
"007530","00140858","와이엠","259"
"007540","00130091","샘표","64992"
"007570","00146454","일양약품","212"
"007590","00115384","동방아그로","2032"
"007610","00131939","선도전기","28123"
"007630","00167280","폴루스바이오팜","461"
"007640","00111014","애큐온저축은행","64132"
"007660","00107613","이수페타시스","2622"
"007680","00111838","대원","41112"
"007690","00104388","국도화학","20111"
"007700","00126487","F&F 홀딩스","64992"
"007720","00104810","소노스퀘어","468"
"007770","00267979","한일화학","201"
"007800","00189343","솔로몬저축은행","64131"
"007810","00152686","코리아써키트","2622"
"007820","00137915","엠엑스로보틱스","29169"
"007830","00124054","부산저축은행","64132"
"007860","00163114","서연","64992"
"007910","00108047","세원화성","20202"
"007980","00154329","TP","141"
"008000","00148717","도레이케미칼","20501"
"008020","00101336","경남에너지","35200"
"008030","00130000","아이텍스필","1419"
"008040","00137252","사조동아원","105"
"008060","00109189","대덕","64992"
"008080","00126885","에스와이코퍼레이션","27"
"008110","00157104","대동전자","264"
"008120","00124577","엠소닉","26"
"008250","00145446","이건산업","16211"
"008260","00116301","NI스틸","2419"
"008270","00260356","산은캐피탈","64911"
"008290","00144021","원풍물산","14111"
"0082N0","01782183","카나프테라퓨틱스","70113"
"008320","00110176","한국기술산업","28302"
"008340","00133715","대주코레스","24222"
"008350","00107224","남선알미늄","24222"
"008370","00144012","원풍","22212"
"008400","00150226","씨앤중공업","30203"
"008420","00121570","문배철강","2419"
"008470","00124276","부스타","25130"
"008490","00131692","서흥","2049"
"008500","00146542","일정실업","133"
"008540","00154189","케이비물산","14120"
"008560","00163682","메리츠증권","66121"
"008600","00104999","윌비스","46413"
"008670","00138321","신한투자증권","66121"
"008700","00138516","아남전자","265"
"008720","00127024","삼양엔텍","29299"
"008730","00145260","율촌화학","22231"
"008770","00165680","호텔신라","47859"
"008780","00119362","아이인프라","2629"
"008800","00164362","행남사","108"
"008830","00109310","대동기어","292"
"008870","00168401","금비","23192"
"0088D0","01958111","메리츠제1호스팩","66199"
"0088M0","01780608","메쥬","27112"
"008900","00138127","티이씨앤코","28302"
"008930","00161426","한미사이언스","64992"
"008970","00117629","KBI동양철관","2413"
"009010","00173634","에듀언스","85501"
"009070","00103042","케이씨티시","49301"
"009080","00154417","퍼시픽글라스","23192"
"009140","00102140","경인전자","2629"
"009150","00126371","삼성전기","2622"
"009160","00138260","SIMPAC","24113"
"009180","00140946","한솔로지스틱스","5299"
"009190","00111111","대양금속","24122"
"0091W0","01945339","신영스팩11호","6619"
"009200","00136086","무림페이퍼","171"
"009220","00101637","그로웰전자","2642"
"009240","00161693","한샘","46431"
"009270","00136864","신원","14112"
"009280","00130046","다함이텍","26"
"009290","00103592","광동제약","21220"
"009300","00126788","삼아제약","212"
"009310","00153621","참엔지니어링","29271"
"009320","00111689","아진전자부품","303"
"009360","00151614","베네데스하이텍","46800"
"009380","00149248","아세아페이퍼텍","17105"
"0093G0","01947072","미래에셋비전스팩8호","66199"
"009410","00153861","태영건설","41221"
"009420","00162586","한올바이오파마","212"
"009440","00159971","KC그린홀딩스","64992"
"009450","00101488","경동나비엔","28520"
"009460","00163761","한창제지","171"
"009470","00129271","삼화전기","26291"
"009520","00128111","포스코엠텍","24199"
"009540","00164830","HD한국조선해양","64992"
"009580","00119007","무림P&P","171"
"009620","00125822","삼보산업","24222"
